fp1x,fp1y,fp1z,fp2x,fp2y,fp2z,fsr15.1,fsr15.2,fsr15.3,fsr15.4,fsr16.1,fsr16.2,fsr16.3,fsr16.4
3.32527,-3.40808,-779.609,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
3.23811,-3.23301,-779.609,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.7152,-3.40808,-779.255,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.62804,-3.23301,-779.255,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.62804,-3.84575,-778.548,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.7152,-3.84575,-778.195,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.80235,-3.75822,-777.134,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.80235,-3.67068,-776.78,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
3.23811,-3.75822,-777.841,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
3.15096,-3.67068,-778.195,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
3.15096,-3.75822,-778.902,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
3.06381,-3.67068,-777.487,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.45374,-3.40808,-780.316,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.62804,-3.14548,-781.377,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.7152,-3.58315,-779.609,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.54089,-3.75822,-779.609,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.19228,-3.49561,-778.902,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.19228,-3.49561,-778.902,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.27943,-3.49561,-779.963,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.27943,-3.32054,-779.963,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
2.8895,-3.40808,-779.255,0,0,0,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
